index,id,title,artists,popularity,release_date,duration_s,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,time_signature,label,cluster_label
51,7LABrQFfRYcZUqUwng0Heb,Encantadora,Yandel,65,2015-11-06,240.093,0.662,0.874,8,4.509,1,0.147,0.0,0.0471,0.141,0.926,169.943,4,0,0
384,1IVPBVkVk9h2ABOpkFeP17,New Light of Tomorrow,['Husky Rescue'],0,2004-01-01,292.497,0.465,0.305,9,12.265,0,0.872,0.906,0.0274,0.111,0.115,76.924,4,1,1
99,2sP5dXtkPiG0ksBsekbjmx,Cayo La Noche - Remix,Fede Guelmos,2,2022-02-03,242.194,0.613,0.572,5,7.421,0,0.288,0.0,0.383,0.168,0.803,86.984,4,0,0
284,6hoUWEGKF3BgIdXrDOiF6c,Where Did Your Heart Go?,['Wham!'],36,1986-07-01,342.866,0.553,0.496,10,15.715,0,0.211,0.00307,0.0317,0.2,0.653,96.536,4,1,1
122,6NfrH0ANGmgBXyxgV2PeXt,La Difícil,Bad Bunny,74,2020-02-29,163.084,0.685,0.848,8,4.561,0,0.0861,7.14e-06,0.0858,0.0783,0.761,179.87,4,0,0
239,4INWW6T86A55L3I2fjyphX,Faust,['Paul Williams'],27,1974-01-01,303.6,0.32,0.689,10,5.361,1,0.186,0.0,0.0442,0.551,0.478,176.481,4,1,1
6,7aTrE9dlJFI4nxoj7QbX2F,Blues de Cris,['Pescado Rabioso'],36,1972-05-07,208.96,0.436,0.525,2,13.882,1,0.0134,0.000943,0.0523,0.185,0.549,81.42,3,1,1
286,2N1wx3hohVjLbeYhpAJOUx,Don't Look Back,['The Korgis'],31,2003-08-05,249.346,0.43,0.45,2,9.085,1,0.265,0.0,0.0263,0.0614,0.219,82.046,4,1,1
14,5HIzCGqvXKVnyziWxL8nL1,3 En 1,Gusty dj,60,2022-12-30,185.143,0.7,0.78,5,5.532,0,0.0429,0.0,0.339,0.189,0.634,127.073,4,0,0
288,02BsTeJE4q5gWOTt58ur5U,I Can't Tell You Why - 2013 Remaster,['Eagles'],62,1979-01-01,295.049,0.707,0.346,11,12.397,0,0.69,0.145,0.0251,0.1,0.49,85.094,4,1,1
304,0CSZhjbh7Um2OQ51XFD0XN,Por honor y gloria,['Raul Porchetto'],0,1983-01-01,275.633,0.414,0.718,9,5.062,1,0.63,0.00111,0.0372,0.124,0.489,111.351,4,1,1
252,6RboQycUFqRdkFopdkUdvw,"Do Me, Baby",['Prince'],18,1993-09-13,237.133,0.602,0.32,4,13.218,1,0.301,0.0,0.063,0.686,0.649,68.995,4,1,1
